Traning set Size,Maximum accuracy,Manimum accuracy,mean accuracy,maximum Tree Size,minimum Tree Size,mean Tree Size
0.3,95.73361082206036,92.50780437044746,94.23517169614985,23,19,21.0
0.4,95.73361082206036,91.62621359223301,93.99865380923997,23,19,21.4
0.5,96.20991253644316,91.62621359223301,94.30814044036795,27,19,22.466666666666665
0.6,96.90346083788707,91.07468123861567,94.45605979293535,27,19,22.5
0.7,96.90346083788707,91.07468123861567,94.71047890230945,27,19,22.52
